Benchmark,NeuralNet,WeightUpdateRule,eta,theta,gamma,epsilon,beta_1,beta_2,lambda,MSE
Hemberg_1,1,basic,1e-06,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,6.21108
Hemberg_1,1,basic,3e-06,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,6.18852
Hemberg_1,1,basic,1e-05,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,6.11034
Hemberg_1,1,basic,3e-05,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,5.89301
Hemberg_1,1,basic,0.0001,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,5.19796
Hemberg_1,1,basic,0.0003,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,3.67322
Hemberg_1,1,basic,0.001,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1.29512
Hemberg_1,1,basic,0.003,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0.452486
Hemberg_1,1,heavy ball,1e-05,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,5.37748
Hemberg_1,1,heavy ball,3e-05,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,4.76134
Hemberg_1,1,heavy ball,0.0001,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,3.14162
Hemberg_1,1,heavy ball,0.0003,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,1.1421
Hemberg_1,1,heavy ball,0.001,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,0.484059
Hemberg_1,1,heavy ball,1e-05,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,9.33935
Hemberg_1,1,heavy ball,3e-05,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,7.67634
Hemberg_1,1,heavy ball,0.0001,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,3.84475
Hemberg_1,1,heavy ball,0.0003,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,0.77204
Hemberg_1,1,heavy ball,0.001,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,0.441984
Hemberg_1,1,heavy ball,1e-05,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,18.5188
Hemberg_1,1,heavy ball,3e-05,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,13.563
Hemberg_1,1,heavy ball,0.0001,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,4.3952
Hemberg_1,1,heavy ball,0.0003,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,0.508599
Hemberg_1,1,heavy ball,0.001,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,0.373072
Hemberg_1,1,heavy ball,1e-05,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,55.6691
Hemberg_1,1,heavy ball,3e-05,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,18.2162
Hemberg_1,1,heavy ball,0.0001,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,2.92902
Hemberg_1,1,heavy ball,0.0003,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,0.637341
Hemberg_1,1,heavy ball,0.001,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,0.318636
Hemberg_1,1,heavy ball,1e-05,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,175.796
Hemberg_1,1,heavy ball,3e-05,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,62.938
Hemberg_1,1,heavy ball,0.0001,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,4.6433
Hemberg_1,1,heavy ball,0.0003,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,1.69721
Hemberg_1,1,heavy ball,0.001,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,0.483512
Hemberg_1,1,NAG,1e-05,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,5.37774
Hemberg_1,1,NAG,3e-05,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,4.76202
Hemberg_1,1,NAG,0.0001,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,3.14314
Hemberg_1,1,NAG,0.0003,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,1.14342
Hemberg_1,1,NAG,0.001,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,0.483759
Hemberg_1,1,NAG,1e-05,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,9.34023
Hemberg_1,1,NAG,3e-05,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,7.67863
Hemberg_1,1,NAG,0.0001,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,3.84939
Hemberg_1,1,NAG,0.0003,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,0.774063
Hemberg_1,1,NAG,0.001,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,0.441388
Hemberg_1,1,NAG,1e-05,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,18.5222
Hemberg_1,1,NAG,3e-05,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,13.5712
Hemberg_1,1,NAG,0.0001,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,4.40665
Hemberg_1,1,NAG,0.0003,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,0.509506
Hemberg_1,1,NAG,0.001,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,0.37206
Hemberg_1,1,NAG,1e-05,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,55.7597
Hemberg_1,1,NAG,3e-05,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,18.2708
Hemberg_1,1,NAG,0.0001,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,2.92473
Hemberg_1,1,NAG,0.0003,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,0.634396
Hemberg_1,1,NAG,0.001,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,0.316765
Hemberg_1,1,NAG,1e-05,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,175.997
Hemberg_1,1,NAG,3e-05,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,68.225
Hemberg_1,1,NAG,0.0001,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,4.47011
Hemberg_1,1,NAG,0.0003,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,1.65202
Hemberg_1,1,NAG,0.001,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,0.484366
Hemberg_1,1,AdaGrad,0.0003,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,5.30899
Hemberg_1,1,AdaGrad,0.001,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,3.67368
Hemberg_1,1,AdaGrad,0.003,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1.38399
Hemberg_1,1,AdaGrad,0.01,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0.43891
Hemberg_1,1,AdaGrad,0.03,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0.443775
Hemberg_1,1,AdaGrad,0.0003,1e-10,1e-10,1e-08,1e-10,1e-10,1e-10,5.30899
Hemberg_1,1,AdaGrad,0.001,1e-10,1e-10,1e-08,1e-10,1e-10,1e-10,3.67368
Hemberg_1,1,AdaGrad,0.003,1e-10,1e-10,1e-08,1e-10,1e-10,1e-10,1.38399
Hemberg_1,1,AdaGrad,0.01,1e-10,1e-10,1e-08,1e-10,1e-10,1e-10,0.43891
Hemberg_1,1,AdaGrad,0.03,1e-10,1e-10,1e-08,1e-10,1e-10,1e-10,0.443775
Hemberg_1,1,AdaGrad,0.0003,1e-10,1e-10,1e-06,1e-10,1e-10,1e-10,5.309
Hemberg_1,1,AdaGrad,0.001,1e-10,1e-10,1e-06,1e-10,1e-10,1e-10,3.67368
Hemberg_1,1,AdaGrad,0.003,1e-10,1e-10,1e-06,1e-10,1e-10,1e-10,1.38399
Hemberg_1,1,AdaGrad,0.01,1e-10,1e-10,1e-06,1e-10,1e-10,1e-10,0.43891
Hemberg_1,1,AdaGrad,0.03,1e-10,1e-10,1e-06,1e-10,1e-10,1e-10,0.443775
Hemberg_1,1,AdaGrad,0.0003,1e-10,1e-10,0.0001,1e-10,1e-10,1e-10,5.30906
Hemberg_1,1,AdaGrad,0.001,1e-10,1e-10,0.0001,1e-10,1e-10,1e-10,3.67385
Hemberg_1,1,AdaGrad,0.003,1e-10,1e-10,0.0001,1e-10,1e-10,1e-10,1.38419
Hemberg_1,1,AdaGrad,0.01,1e-10,1e-10,0.0001,1e-10,1e-10,1e-10,0.438904
Hemberg_1,1,AdaGrad,0.03,1e-10,1e-10,0.0001,1e-10,1e-10,1e-10,0.443756
Hemberg_1,1,RMSProp,1e-06,1e-10,0.9,1e-10,1e-10,1e-10,1e-10,6.21294
Hemberg_1,1,RMSProp,1e-06,1e-10,0.95,1e-10,1e-10,1e-10,1e-10,6.21251
Hemberg_1,1,RMSProp,1e-06,1e-10,0.99,1e-10,1e-10,1e-10,1e-10,6.20916
Hemberg_1,1,RMSProp,3e-06,1e-10,0.9,1e-10,1e-10,1e-10,1e-10,6.19412
Hemberg_1,1,RMSProp,3e-06,1e-10,0.95,1e-10,1e-10,1e-10,1e-10,6.19285
Hemberg_1,1,RMSProp,3e-06,1e-10,0.99,1e-10,1e-10,1e-10,1e-10,6.1828
Hemberg_1,1,RMSProp,1e-05,1e-10,0.9,1e-10,1e-10,1e-10,1e-10,6.12859
Hemberg_1,1,RMSProp,1e-05,1e-10,0.95,1e-10,1e-10,1e-10,1e-10,6.12441
Hemberg_1,1,RMSProp,1e-05,1e-10,0.99,1e-10,1e-10,1e-10,1e-10,6.09129
Hemberg_1,1,RMSProp,3e-05,1e-10,0.9,1e-10,1e-10,1e-10,1e-10,5.94423
Hemberg_1,1,RMSProp,3e-05,1e-10,0.95,1e-10,1e-10,1e-10,1e-10,5.93208
Hemberg_1,1,RMSProp,3e-05,1e-10,0.99,1e-10,1e-10,1e-10,1e-10,5.83603
Hemberg_1,1,RMSProp,0.0001,1e-10,0.9,1e-10,1e-10,1e-10,1e-10,5.3317
Hemberg_1,1,RMSProp,0.0001,1e-10,0.95,1e-10,1e-10,1e-10,1e-10,5.29581
Hemberg_1,1,RMSProp,0.0001,1e-10,0.99,1e-10,1e-10,1e-10,1e-10,5.01238
Hemberg_1,1,RMSProp,0.0003,1e-10,0.9,1e-10,1e-10,1e-10,1e-10,3.84785
Hemberg_1,1,RMSProp,0.0003,1e-10,0.95,1e-10,1e-10,1e-10,1e-10,3.77464
Hemberg_1,1,RMSProp,0.0003,1e-10,0.99,1e-10,1e-10,1e-10,1e-10,3.19697
Hemberg_1,1,RMSProp,0.001,1e-10,0.9,1e-10,1e-10,1e-10,1e-10,1.11561
Hemberg_1,1,RMSProp,0.001,1e-10,0.95,1e-10,1e-10,1e-10,1e-10,1.08378
Hemberg_1,1,RMSProp,0.001,1e-10,0.99,1e-10,1e-10,1e-10,1e-10,0.757455
Hemberg_1,1,RMSProp,1e-06,1e-10,0.9,1e-08,1e-10,1e-10,1e-10,6.21294
Hemberg_1,1,RMSProp,1e-06,1e-10,0.95,1e-08,1e-10,1e-10,1e-10,6.21251
Hemberg_1,1,RMSProp,1e-06,1e-10,0.99,1e-08,1e-10,1e-10,1e-10,6.20916
Hemberg_1,1,RMSProp,3e-06,1e-10,0.9,1e-08,1e-10,1e-10,1e-10,6.19412
Hemberg_1,1,RMSProp,3e-06,1e-10,0.95,1e-08,1e-10,1e-10,1e-10,6.19285
Hemberg_1,1,RMSProp,3e-06,1e-10,0.99,1e-08,1e-10,1e-10,1e-10,6.1828
Hemberg_1,1,RMSProp,1e-05,1e-10,0.9,1e-08,1e-10,1e-10,1e-10,6.12859
Hemberg_1,1,RMSProp,1e-05,1e-10,0.95,1e-08,1e-10,1e-10,1e-10,6.12441
Hemberg_1,1,RMSProp,1e-05,1e-10,0.99,1e-08,1e-10,1e-10,1e-10,6.09129
Hemberg_1,1,RMSProp,3e-05,1e-10,0.9,1e-08,1e-10,1e-10,1e-10,5.94422
Hemberg_1,1,RMSProp,3e-05,1e-10,0.95,1e-08,1e-10,1e-10,1e-10,5.93208
Hemberg_1,1,RMSProp,3e-05,1e-10,0.99,1e-08,1e-10,1e-10,1e-10,5.83603
Hemberg_1,1,RMSProp,0.0001,1e-10,0.9,1e-08,1e-10,1e-10,1e-10,5.3317
Hemberg_1,1,RMSProp,0.0001,1e-10,0.95,1e-08,1e-10,1e-10,1e-10,5.29581
Hemberg_1,1,RMSProp,0.0001,1e-10,0.99,1e-08,1e-10,1e-10,1e-10,5.01239
Hemberg_1,1,RMSProp,0.0003,1e-10,0.9,1e-08,1e-10,1e-10,1e-10,3.84785
Hemberg_1,1,RMSProp,0.0003,1e-10,0.95,1e-08,1e-10,1e-10,1e-10,3.77464
Hemberg_1,1,RMSProp,0.0003,1e-10,0.99,1e-08,1e-10,1e-10,1e-10,3.19697
Hemberg_1,1,RMSProp,0.001,1e-10,0.9,1e-08,1e-10,1e-10,1e-10,1.11561
Hemberg_1,1,RMSProp,0.001,1e-10,0.95,1e-08,1e-10,1e-10,1e-10,1.08379
Hemberg_1,1,RMSProp,0.001,1e-10,0.99,1e-08,1e-10,1e-10,1e-10,0.757458
Hemberg_1,1,RMSProp,1e-06,1e-10,0.9,1e-06,1e-10,1e-10,1e-10,6.21294
Hemberg_1,1,RMSProp,1e-06,1e-10,0.95,1e-06,1e-10,1e-10,1e-10,6.21252
Hemberg_1,1,RMSProp,1e-06,1e-10,0.99,1e-06,1e-10,1e-10,1e-10,6.20916
Hemberg_1,1,RMSProp,3e-06,1e-10,0.9,1e-06,1e-10,1e-10,1e-10,6.19412
Hemberg_1,1,RMSProp,3e-06,1e-10,0.95,1e-06,1e-10,1e-10,1e-10,6.19285
Hemberg_1,1,RMSProp,3e-06,1e-10,0.99,1e-06,1e-10,1e-10,1e-10,6.18281
Hemberg_1,1,RMSProp,1e-05,1e-10,0.9,1e-06,1e-10,1e-10,1e-10,6.12859
Hemberg_1,1,RMSProp,1e-05,1e-10,0.95,1e-06,1e-10,1e-10,1e-10,6.12441
Hemberg_1,1,RMSProp,1e-05,1e-10,0.99,1e-06,1e-10,1e-10,1e-10,6.09132
Hemberg_1,1,RMSProp,3e-05,1e-10,0.9,1e-06,1e-10,1e-10,1e-10,5.94423
Hemberg_1,1,RMSProp,3e-05,1e-10,0.95,1e-06,1e-10,1e-10,1e-10,5.93209
Hemberg_1,1,RMSProp,3e-05,1e-10,0.99,1e-06,1e-10,1e-10,1e-10,5.8361
Hemberg_1,1,RMSProp,0.0001,1e-10,0.9,1e-06,1e-10,1e-10,1e-10,5.33173
Hemberg_1,1,RMSProp,0.0001,1e-10,0.95,1e-06,1e-10,1e-10,1e-10,5.29585
Hemberg_1,1,RMSProp,0.0001,1e-10,0.99,1e-06,1e-10,1e-10,1e-10,5.01263
Hemberg_1,1,RMSProp,0.0003,1e-10,0.9,1e-06,1e-10,1e-10,1e-10,3.84792
Hemberg_1,1,RMSProp,0.0003,1e-10,0.95,1e-06,1e-10,1e-10,1e-10,3.77474
Hemberg_1,1,RMSProp,0.0003,1e-10,0.99,1e-06,1e-10,1e-10,1e-10,3.19751
Hemberg_1,1,RMSProp,0.001,1e-10,0.9,1e-06,1e-10,1e-10,1e-10,1.11585
Hemberg_1,1,RMSProp,0.001,1e-10,0.95,1e-06,1e-10,1e-10,1e-10,1.084
Hemberg_1,1,RMSProp,0.001,1e-10,0.99,1e-06,1e-10,1e-10,1e-10,0.757773
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.9,1e-10,1e-10,1e-10,1e-10,5.96485
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.95,1e-10,1e-10,1e-10,1e-10,5.91622
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.99,1e-10,1e-10,1e-10,1e-10,5.62599
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.995,1e-10,1e-10,1e-10,1e-10,5.40527
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.9,1e-08,1e-10,1e-10,1e-10,4.08728
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.95,1e-08,1e-10,1e-10,1e-10,3.78645
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.99,1e-08,1e-10,1e-10,1e-10,2.3825
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.995,1e-08,1e-10,1e-10,1e-10,1.68358
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.9,1e-06,1e-10,1e-10,1e-10,0.477943
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.95,1e-06,1e-10,1e-10,1e-10,0.453246
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.99,1e-06,1e-10,1e-10,1e-10,0.438084
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.995,1e-06,1e-10,1e-10,1e-10,0.440394
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.9,0.0001,1e-10,1e-10,1e-10,0.473541
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.95,0.0001,1e-10,1e-10,1e-10,0.475333
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.99,0.0001,1e-10,1e-10,1e-10,0.47613
Hemberg_1,1,AdaDelta,1e-10,1e-10,0.995,0.0001,1e-10,1e-10,1e-10,0.482309
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-10,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-10,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-10,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-10,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-10,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-10,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-10,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-10,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-10,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-08,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-08,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-08,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-08,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-08,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-08,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-08,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-08,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-08,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-06,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-06,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-06,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-06,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-06,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-06,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-06,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-06,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,1e-06,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,0.0001,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,0.0001,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,0.0001,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,0.0001,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,0.0001,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,0.0001,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,0.0001,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,0.0001,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-06,1e-10,1e-10,0.0001,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-10,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-10,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-10,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-10,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-10,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-10,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-10,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-10,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-10,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-08,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-08,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-08,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-08,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-08,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-08,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-08,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-08,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-08,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-06,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-06,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-06,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-06,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-06,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-06,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-06,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-06,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,1e-06,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,0.0001,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,0.0001,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,0.0001,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,0.0001,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,0.0001,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,0.0001,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,0.0001,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,0.0001,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,3e-06,1e-10,1e-10,0.0001,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-10,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-10,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-10,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-10,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-10,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-10,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-10,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-10,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-10,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-08,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-08,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-08,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-08,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-08,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-08,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-08,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-08,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-08,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-06,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-06,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-06,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-06,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-06,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-06,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-06,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-06,0.95,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,1e-06,0.95,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,0.0001,0.8,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,0.0001,0.8,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,0.0001,0.8,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,0.0001,0.9,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,0.0001,0.9,0.995,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,0.0001,0.9,0.999,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,0.0001,0.95,0.99,1e-10,nan
Hemberg_1,1,Adam,1e-05,1e-10,1e-10,0.0001,0.95,0.995,1e-10,nan
